order_id,user_id,transaction_amount,status
16621,USR-449,29.5,shipped
18064,USR-168,399.0,shipped
11850,USR-458,232.59,pending
19062,USR-286,419.8,shipped
11873,USR-61,169.1,shipped
13075,USR-124,315.1,delivered
11739,USR-484,359.3,delivered
15902,USR-301,398.7,shipped
12327,USR-6,33.58,delivered
15796,USR-445,70.21,pending
15105,USR-186,43.64,delivered
14549,USR-275,297.5,delivered
12379,USR-332,201.27,shipped
15154,USR-218,155.29,delivered
10382,USR-230,333.12,delivered
17019,USR-399,361.1,shipped
17549,USR-200,348.52,shipped
18274,USR-442,86.55,delivered
18989,USR-148,444.2,pending
10713,USR-391,97.74,pending
17516,USR-30,21.28,delivered
15100,USR-265,58.92,shipped
17973,USR-127,67.64,shipped
15059,USR-360,57.85,delivered
14751,USR-335,477.63,shipped
13247,USR-401,346.95,pending
13700,USR-483,249.98,shipped
16479,USR-374,328.47,shipped
19188,USR-20,395.7,shipped
19920,USR-86,323.91,shipped
14746,USR-358,51.9,pending
13997,USR-381,413.18,pending
17989,USR-235,49.99,pending
12338,USR-30,49.52,pending
18774,USR-301,393.82,shipped
18366,USR-142,488.82,delivered
19314,USR-395,382.36,shipped
19237,USR-272,273.9,shipped
14835,USR-438,329.57,delivered
18927,USR-492,110.14,delivered
10910,USR-95,36.31,shipped
18696,USR-418,461.2,delivered
17009,USR-423,306.63,pending
11357,USR-455,427.1,shipped
13692,USR-287,216.88,shipped
19018,USR-375,336.58,pending
13940,USR-352,396.78,pending
12345,USR-458,186.51,pending
13669,USR-176,253.1,shipped
14174,USR-128,413.52,shipped
